canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
A08032074,Gapé-Centre,Zio 4,Zio,Maritime,93.19,29.39,0,545,16383,20578,3,0,41
A08032075,Gapé-Kpodji,Zio 4,Zio,Maritime,80.81,56.98,0,397,647,2761,0,0,7
A08029060,Tsévié,Zio 1,Zio,Maritime,100,93.73,94.96,322,50443,49635,4,1,157
A08029061,Davié,Zio 1,Zio,Maritime,100,97.36,82.04,199,26881,30036,0,0,153
A08029062,Gblainvié,Zio 1,Zio,Maritime,100,55.28,25.93,561,3208,4017,1,0,9
A08029063,Abobo,Zio 1,Zio,Maritime,100,52.74,75.94,776,21715,21371,4,0,28
A08029064,Djagblé,Zio 1,Zio,Maritime,100,84.5,100,1009,26238,26238,0,1,26
A08029065,Kpomé,Zio 1,Zio,Maritime,100,82.05,14.09,108,2367,2302,2,0,22
A08029066,Dalavé,Zio 1,Zio,Maritime,100,54.67,70.46,408,15988,19913,0,0,51
A08029067,Gbatopé,Zio 1,Zio,Maritime,100,88.67,0,176,10855,10356,6,0,62
A08030068,Mission-Tové,Zio 2,Zio,Maritime,100,91.27,44.37,517,21180,21056,1,0,41
A08030069,Kovié,Zio 2,Zio,Maritime,100,71.77,0,990,10560,13536,2,0,14
A08030070,Wli,Zio 2,Zio,Maritime,100,88.31,21.1,415,2389,3079,0,0,8
A08030071,Bolou,Zio 2,Zio,Maritime,100,68.83,26.5,295,5031,4756,1,0,18
A08031072,Gamé,Zio 3,Zio,Maritime,,,,,,,0,0,0
A08031073,Agbélouvé,Zio 3,Zio,Maritime,98.4,59.68,36.28,299,30066,33872,16,1,125
B01032079,Kati,Agou 1,Agou,Plateaux,100,94.12,0,267,3200,3058,2,0,12
B01033080,Agou-Nyogbo-Dzidjole,Agou 1,Agou,Plateaux,100,100,100,81,1382,1382,1,0,17
B01033081,Agou-Kébo,Agou 1,Agou,Plateaux,100,63.24,100,1144,2288,2276,0,0,2
B01033076,Agou-Nyogbo-Agbétiko,Agou 1,Agou,Plateaux,100,39.4,6.32,174,3983,3369,2,0,23
B01033077,Agou-Akplolo,Agou 1,Agou,Plateaux,100,82.87,0,106,1247,1112,2,0,12
B01033078,Agou-Iboé,Agou 1,Agou,Plateaux,100,44.29,0,823,1647,1559,1,0,2
B01033082,Agou-Tavié,Agou 1,Agou,Plateaux,100,93.91,95.8,244,11455,11256,3,1,47
B01033083,Agou-Atigbé,Agou 1,Agou,Plateaux,100,38.08,76.71,2147,2023,1959,0,0,1
B01033084,Gadja,Agou 1,Agou,Plateaux,100,61.19,4.99,306,17004,15704,2,0,57
B01033085,Assahoun-Fiagbé,Agou 1,Agou,Plateaux,100,50.3,1.81,2923,341,2770,0,0,1
B01033086,Klonou,Agou 1,Agou,Plateaux,,,,,,,0,0,0
B01034087,Amoussou-Kopé,Agou 2,Agou,Plateaux,42.15,64.93,0,249,11143,10057,2,0,45
B01034088,Agotimé-Sud (Adzakpa),Agou 2,Agou,Plateaux,0,8.46,0,5074,429,2950,0,0,1
B01034089,Agotimé-Nord,Agou 2,Agou,Plateaux,51.08,37.09,0,2858,3723,10046,2,0,4
B02035090,Djon,Akébou 1,Akébou,Plateaux,100,28.76,0,1378,9239,10808,1,0,8
B02035091,Veh,Akébou 1,Akébou,Plateaux,100,45.28,0,945,3464,3727,1,0,4
B02035092,Kougnohou,Akébou 1,Akébou,Plateaux,100,82.36,0,230,8850,9776,1,1,43
B02035093,Gbendè,Akébou 1,Akébou,Plateaux,100,35.29,0,1874,3496,3590,2,0,2
B02035094,Yalla,Akébou 1,Akébou,Plateaux,4.7,69.27,0,818,31,4756,0,0,6
B02036095,Sérégbénè,Akébou 2,Akébou,Plateaux,51.67,42.8,0,1751,5092,8421,1,0,5
B02036096,Kpalavé,Akébou 2,Akébou,Plateaux,12.28,33.39,0,3836,6803,7181,2,0,2
B02036097,Kamina-Akébou,Akébou 2,Akébou,Plateaux,19.87,31.14,0,794,11192,11655,3,0,17
B03037099,Imlè-Adiva,Amou 1,Amou,Plateaux,100,40.93,0,1244,8355,6228,3,0,7
B03037098,Adiva,Amou 1,Amou,Plateaux,100,78.33,0,384,1536,1336,1,0,4
B03037100,Amlamé (Ouma),Amou 1,Amou,Plateaux,100,72.99,0,438,13565,13150,2,1,32
B03038101,Kpatégan,Amou 2,Amou,Plateaux,100,14.72,0,2009,2680,12350,0,0,7
B03038102,Ekpégnon,Amou 2,Amou,Plateaux,100,11.29,0,6091,5863,5081,3,0,1
B03038103,Amou-Oblo,Amou 2,Amou,Plateaux,100,49.47,0,990,13283,16190,2,1,18
B03038104,Sodo,Amou 2,Amou,Plateaux,100,33.64,0,1476,6827,6236,3,0,5
B03039105,Gamé,Amou 3,Amou,Plateaux,81.78,0,0,,2024,3805,1,0,0
B03039106,Otadi,Amou 3,Amou,Plateaux,100,87,0,300,1593,4282,1,0,15
B03039107,Hihéatro,Amou 3,Amou,Plateaux,100,75.83,0,726,17486,19533,2,1,28
B03039108,Okpahoé,Amou 3,Amou,Plateaux,100,0.4,0,,0,1938,0,0,0
B03039109,Evou,Amou 3,Amou,Plateaux,100,91.16,0,253,7071,6946,3,0,28
B03039110,Témédja,Amou 3,Amou,Plateaux,100,84.2,0,312,9345,8595,1,0,30
B04040112,Pallakoko,Anié 1,Anié,Plateaux,100,51.88,0.34,1146,6742,16671,1,0,17
B04040113,Anié,Anié 1,Anié,Plateaux,100,74.35,74.36,459,88981,91946,10,1,208
B04040114,Kolo-Kopé,Anié 1,Anié,Plateaux,99.89,45.47,0,1625,18033,17036,3,0,12
B04041115,Adogbénou,Anié 2,Anié,Plateaux,0,24.03,0,963,19243,23593,5,0,29
B04041116,Atchinédji,Anié 2,Anié,Plateaux,21.51,31.8,0,1142,9724,7579,5,0,10
B04041117,Glitto,Anié 2,Anié,Plateaux,3.49,15.77,0,2831,13629,19338,2,0,9
B05042118,Danyi-Atigba,Danyi 1,Danyi,Plateaux,100,95.24,0.68,215,15586,15995,3,1,75
B05042120,Danyi-Kakpa,Danyi 1,Danyi,Plateaux,100,81.49,3.52,160,112,3471,0,0,22
B05042119,Yikpa,Danyi 1,Danyi,Plateaux,100,63.41,13.11,961,1151,1910,0,0,2
B05043121,Danyi-Kpeto-Evita,Danyi 2,Danyi,Plateaux,100,41.18,0,501,2371,2902,0,0,6
B05043122,Danyi-Elavagnon,Danyi 2,Danyi,Plateaux,100,69.64,0,232,6003,5915,2,0,27
B05043123,Ahlon,Danyi 2,Danyi,Plateaux,100,81.23,0,447,1494,4405,0,0,10
B06044124,Elavagnon,Est-Mono 1,Est-Mono,Plateaux,88.01,37.6,0,1065,34303,51746,3,1,54
B06044125,Gbadjahè,Est-Mono 1,Est-Mono,Plateaux,90.24,38.73,0,1057,11561,13306,2,0,15
B06045126,Morétan,Est-Mono 2,Est-Mono,Plateaux,74.87,30.59,0,1137,28628,43655,3,0,51
B06045127,Badin-Copé,Est-Mono 2,Est-Mono,Plateaux,25.17,53.36,0,628,14554,15001,6,0,30
B06045128,Kamina,Est-Mono 2,Est-Mono,Plateaux,14.03,49.33,0,769,12374,11687,4,0,18
