canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
D01080247,Dako (Daoude),Assoli 1,Assoli,Kara,68.46,57.05,0,654,4565,5266,1,0,9
D01080248,Bouladè,Assoli 1,Assoli,Kara,100,49.71,30.25,752,5262,4606,3,0,7
D01080249,Bafilo,Assoli 1,Assoli,Kara,100,91.88,92.91,119,17817,17478,3,1,153
D01081250,Alédjo,Assoli 2,Assoli,Kara,100,79.71,0,367,6608,6476,4,0,18
D01081251,Koumondè,Assoli 2,Assoli,Kara,100,99.52,18.33,224,2906,2892,1,0,13
D01082252,Soudou,Assoli 3,Assoli,Kara,100,49.28,0.5,297,7285,6614,3,0,28
D02083253,Baghan,Bassar 1,Bassar,Kara,16.17,74.47,0,183,1521,1367,2,0,9
D02083254,Bassar,Bassar 1,Bassar,Kara,98.61,82.37,78.58,169,39711,39438,9,1,257
D02083255,Kalanga,Bassar 1,Bassar,Kara,100,39.8,0,810,2818,4718,1,0,7
D02084256,Dimori,Bassar 2,Bassar,Kara,42.14,36.97,0,1003,4964,8371,1,0,10
D02084257,Bitchabe,Bassar 2,Bassar,Kara,92.4,44.11,0,1383,5125,5209,3,0,4
D02084258,Bangeli,Bassar 2,Bassar,Kara,100,42.43,0,287,8385,9564,4,1,40
D02085259,Manga,Bassar 3,Bassar,Kara,100,28.24,0,519,1879,3927,1,0,10
D02085260,Kabou,Bassar 3,Bassar,Kara,99.51,68.37,67.52,384,21774,22276,3,1,70
D02086261,Sanda-Afohou,Bassar 4,Bassar,Kara,100,77.53,0,312,3337,3576,1,0,12
D02086262,Sanda-Kagbanda,Bassar 4,Bassar,Kara,100,73.91,0,235,3646,3478,2,0,17
D03087263,Solla,Binah 1,Binah,Kara,68.72,35.58,0,731,8230,7290,2,0,12
D03087264,Pessaré,Binah 1,Binah,Kara,100,62.38,0,806,5643,5544,1,0,7
D03087265,Boufalé,Binah 1,Binah,Kara,100,30.29,0,373,4417,3728,1,0,12
D03087266,Pitikita,Binah 1,Binah,Kara,100,16.41,0,2421,4843,4460,1,0,2
D03087267,Lama-Dessi,Binah 1,Binah,Kara,100,73.53,0,624,7485,7080,1,0,12
D03087268,Pagouda,Binah 1,Binah,Kara,100,76.75,0,327,15392,14986,7,1,47
D03088269,Sirka,Binah 2,Binah,Kara,100,41.73,0,637,6523,7054,6,0,12
D03088270,Kétao,Binah 2,Binah,Kara,100,94.76,0,136,13392,13355,1,1,99
D03088271,Kémérida,Binah 2,Binah,Kara,100,83.81,0,629,5283,5440,2,0,9
D04089272,Naompoch,Dankpen 1,Dankpen,Kara,91.25,37.02,0,1566,7119,10210,2,0,8
D04089273,Katchamba,Dankpen 1,Dankpen,Kara,24.18,32.83,0,1188,5133,7484,2,0,7
D04089274,Guérin-Kouka,Dankpen 1,Dankpen,Kara,99.95,58.65,66.54,448,34366,39574,1,1,96
D04089275,Koulféikou,Dankpen 1,Dankpen,Kara,0,73.35,0,1575,12620,14801,1,0,11
D04090276,Namon,Dankpen 2,Dankpen,Kara,9.19,50.76,0,1060,8893,8093,1,0,10
D04090277,Natchiboré,Dankpen 2,Dankpen,Kara,21.62,33.58,0,2449,2922,9038,0,0,6
D04090278,Natchitikpi,Dankpen 2,Dankpen,Kara,100,26.67,0,953,4023,4531,1,0,7
D04090279,Koutchitchéou,Dankpen 2,Dankpen,Kara,98.22,55.84,0,1091,1292,6382,0,0,8
D04091280,Nawaré,Dankpen 3,Dankpen,Kara,98.42,14.35,0,4811,6924,19565,1,0,5
D04091281,Bapuré,Dankpen 3,Dankpen,Kara,100,44.65,0,1582,19979,29622,2,1,20
D04091282,Nandouta,Dankpen 3,Dankpen,Kara,11.92,24.55,0,4726,11561,18189,3,0,5
D04091283,Kidjabou,Dankpen 3,Dankpen,Kara,42.68,6.29,0,3799,5738,22423,1,0,7
D05092285,Agbandè-Yaka,Doufelgou 1,Doufelgou,Kara,100,45.25,67.54,1311,5001,3041,1,0,4
D05092286,Niamtougou,Doufelgou 1,Doufelgou,Kara,100,97.51,99.62,250,16257,16114,3,1,65
D05092284,Siou,Doufelgou 1,Doufelgou,Kara,100,87.53,0,435,10879,10805,6,1,25
D05092287,Ténéga,Doufelgou 1,Doufelgou,Kara,100,67.46,0,1248,3743,3650,3,0,3
D05092288,Baga,Doufelgou 1,Doufelgou,Kara,100,88.48,94.53,695,7642,7553,4,0,11
D05092289,Pouda,Doufelgou 1,Doufelgou,Kara,100,0,0,,2919,2495,1,0,0
D05092290,Massédéna,Doufelgou 1,Doufelgou,Kara,69.7,0,0,,1795,1611,1,0,0
D05092291,Koka,Doufelgou 1,Doufelgou,Kara,100,86.5,65.19,768,4610,4290,3,0,6
D05093293,Alloum,Doufelgou 2,Doufelgou,Kara,61.36,35.31,0,240,2023,2916,2,0,15
D05093292,Léon,Doufelgou 2,Doufelgou,Kara,45.1,42.77,0,298,2031,1365,3,0,7
D05093294,Kadjalla,Doufelgou 2,Doufelgou,Kara,62.42,28.86,0,253,3269,2576,2,0,15
D05093295,Tchoré,Doufelgou 2,Doufelgou,Kara,100,51.95,0,254,762,600,1,0,3
D05093296,Défalé,Doufelgou 2,Doufelgou,Kara,100,2.06,0,,227,116,0,0,27
D05093297,Kpaha,Doufelgou 2,Doufelgou,Kara,100,50.83,0,536,1320,1476,1,0,3
D06096304,Nadoba,Kéran 3,Kéran,Kara,0,35.24,0,1782,12769,13091,1,0,9
D06096305,Warengo,Kéran 3,Kéran,Kara,0,11.81,0,6024,458,5414,0,0,1
D06096306,Koutougou,Kéran 3,Kéran,Kara,0,0,0,,652,2423,1,0,0
D06094298,Kantè,Kéran 1,Kéran,Kara,74.64,74.76,85.6,407,30612,28191,9,1,77
D06094299,Pessidè,Kéran 1,Kéran,Kara,7.04,9.07,6.56,2406,16658,10464,8,0,8
D06094300,Akpontè,Kéran 1,Kéran,Kara,3.73,10.39,0,870,5041,2237,3,0,6
D06095301,Hélota,Kéran 2,Kéran,Kara,0,27.64,0,922,11275,7543,6,0,13
D06095302,Ossacré,Kéran 2,Kéran,Kara,0,60.29,0,683,11549,10134,4,0,17
D06095303,Ataloté,Kéran 2,Kéran,Kara,3.92,32.85,0,1812,14430,8304,13,0,8
D07097307,Landa,Kozah 1,Kozah,Kara,100,94.55,0,302,9059,9044,12,0,30
D07097308,Soumdina,Kozah 1,Kozah,Kara,100,87.22,0,364,6910,6879,2,0,19
D07097309,Lassa,Kozah 1,Kozah,Kara,100,82.28,0,280,16806,16762,8,0,60
D07097310,Commune De Kara,Kozah 1,Kozah,Kara,100,98.09,91.61,85,107435,106957,13,2,1257
D07098313,Pya,Kozah 2,Kozah,Kara,100,95.5,0,346,13859,13635,5,1,40
D07098314,Tchitchao,Kozah 2,Kozah,Kara,100,86.35,0,1002,9009,8706,5,0,9
D07098315,Bohou,Kozah 2,Kozah,Kara,100,64.26,1.51,609,12181,12036,6,0,20
D07098316,Sara-Kawa,Kozah 2,Kozah,Kara,100,53.33,0,511,4350,3602,3,0,9
D07098317,Yadè,Kozah 2,Kozah,Kara,100,89,3.65,467,7468,7397,0,0,16
D07098311,Kouméa,Kozah 2,Kozah,Kara,100,84.6,0,392,9811,9776,9,1,25
D07098312,Tcharè,Kozah 2,Kozah,Kara,100,87.05,0,399,3189,3079,2,0,8
D07099318,Awandjélo,Kozah 3,Kozah,Kara,100,52.33,0,467,10275,9029,10,0,22
D07099319,Kpinzindè,Kozah 3,Kozah,Kara,99.61,41.32,0,651,7806,6457,17,0,12
D07100320,Djamdè,Kozah 4,Kozah,Kara,100,65.38,0,320,2393,2584,2,0,10
D07100321,Atchangbadè,Kozah 4,Kozah,Kara,100,41.54,0,726,16710,17600,2,1,25
E01102326,Biankouri,Cinkassé 2,Cinkassé,Savanes,100,46.78,20.97,872,13947,12951,3,0,16
E01102328,Timbou,Cinkassé 2,Cinkassé,Savanes,100,59.81,0.36,742,17075,16595,2,0,23
E01102327,Nadjoundi,Cinkassé 2,Cinkassé,Savanes,100,50.81,0,571,9708,9310,2,0,17
E01102329,Sam-Naba,Cinkassé 2,Cinkassé,Savanes,100,74.94,0.28,479,9572,9128,1,0,20
E01101322,Gouloungoussi,Cinkassé 1,Cinkassé,Savanes,100,46,0,1836,3671,3404,1,0,2
E01101323,Noaga,Cinkassé 1,Cinkassé,Savanes,100,0,0,,702,409,0,0,0
E01101324,Boadé,Cinkassé 1,Cinkassé,Savanes,100,55.68,0,809,1893,2418,0,0,3
E02103330,Tambigou,Kpendjal 1,Kpendjal,Savanes,0,24.44,0,4536,0,2306,0,0,1
E02103331,Koundjoaré,Kpendjal 1,Kpendjal,Savanes,0,55.56,0,1037,14819,14933,3,0,18
E02103332,Mandouri,Kpendjal 1,Kpendjal,Savanes,0,41.46,0,812,12270,12321,2,1,17
E02104333,Borgou,Kpendjal 2,Kpendjal,Savanes,0,17.57,0,3917,11442,15494,4,0,5
E03105334,Naki-Est,Kpendjal-Ouest 1,Kpendjal-Ouest,Savanes,77.63,66.81,0,548,25591,22729,7,0,47
E03105335,Nayéga,Kpendjal-Ouest 1,Kpendjal-Ouest,Savanes,65.74,55.87,0,1140,6842,6320,2,0,6
E03105336,Ogaro,Kpendjal-Ouest 1,Kpendjal-Ouest,Savanes,1.06,51.35,0,1086,21151,18781,5,0,20
E03106337,Papri,Kpendjal-Ouest 2,Kpendjal-Ouest,Savanes,100,66.58,0,938,18756,18068,2,0,20
E03106338,Tambonga,Kpendjal-Ouest 2,Kpendjal-Ouest,Savanes,100,53.19,0,998,8983,7607,2,0,9
E03106339,Namoundjoga,Kpendjal-Ouest 2,Kpendjal-Ouest,Savanes,99.87,38.21,0,879,9556,8855,2,0,11
E03106340,Pogno,Kpendjal-Ouest 2,Kpendjal-Ouest,Savanes,43.34,38.44,0,1040,16220,15838,4,0,16
E04109341,Mango,Oti 1,Oti,Savanes,100,85.39,86.85,257,47266,48857,4,1,202
E04109342,Sadori,Oti 1,Oti,Savanes,100,33.03,0,2087,7577,7019,1,0,5
E04109343,Faré,Oti 1,Oti,Savanes,19.44,40.28,0,5259,5206,3509,1,0,1
E04110344,Barkoissi,Oti 2,Oti,Savanes,100,72.15,0,344,35836,35756,7,1,108
E04110345,Nagbéni,Oti 2,Oti,Savanes,75.44,49.24,0,1078,21786,20812,8,0,23
E04110346,Tchanaga,Oti 2,Oti,Savanes,80.88,16.24,0,1246,3826,4742,2,0,5
E04110347,Galangashie,Oti 2,Oti,Savanes,100,49.49,0,913,10296,10391,2,0,16
E05107348,Sagbiebou,Oti-Sud 1,Oti-Sud,Savanes,100,57.33,0,385,8673,10391,4,0,33
E05107349,Tchamonga,Oti-Sud 1,Oti-Sud,Savanes,22.13,23.69,0,2143,4921,15145,1,0,11
E05107350,Mogou,Oti-Sud 1,Oti-Sud,Savanes,100,21.27,0.19,1304,6745,10992,1,0,13
E05107351,Gando,Oti-Sud 1,Oti-Sud,Savanes,99.97,61.7,60.75,491,24911,23950,5,1,63
E05108352,Kountoire,Oti-Sud 2,Oti-Sud,Savanes,13.36,22.04,0,1026,8480,9294,2,0,15
E06108355,Takpamba,Oti-Sud 2,Oti-Sud,Savanes,0,38,0,772,6648,7693,2,0,12
E05108353,Koumongou,Oti-Sud 2,Oti-Sud,Savanes,65.52,43.44,0,1124,7662,7883,1,0,9
E05108354,Nali,Oti-Sud 2,Oti-Sud,Savanes,0,26.25,0,2730,4363,5807,1,0,3
E06111361,Nandoga,Tandjoaré 1,Tandjoaré,Savanes,100,49.88,0,1532,6126,5908,3,0,4
E06111356,Loko,Tandjoaré 1,Tandjoaré,Savanes,100,37.7,0,3194,3194,2682,3,0,1
E06111357,Pligou,Tandjoaré 1,Tandjoaré,Savanes,100,30.73,0,1400,8401,7286,0,0,6
E06111358,Bombouaka,Tandjoaré 1,Tandjoaré,Savanes,100,56.83,0,558,9483,9084,5,1,17
E06111359,Goundoga,Tandjoaré 1,Tandjoaré,Savanes,100,67.17,0,679,5434,4997,5,0,8
E06111360,Bogou,Tandjoaré 1,Tandjoaré,Savanes,100,47.59,0,1325,15895,15661,6,0,12
E06111362,Boulogou,Tandjoaré 1,Tandjoaré,Savanes,100,0.63,0,,7210,6703,4,0,0
E06111363,Tamongue,Tandjoaré 1,Tandjoaré,Savanes,99.81,48.13,0,1226,19204,21412,6,0,18
E06112364,Bagou,Tandjoaré 2,Tandjoaré,Savanes,100,14.51,0,3319,3319,2860,5,0,1
E06112365,Nano,Tandjoaré 2,Tandjoaré,Savanes,100,79.7,0,481,16271,16662,3,0,36
E06112366,Sissiak,Tandjoaré 2,Tandjoaré,Savanes,100,51,0,1016,26416,24873,10,0,26
E06112367,Tampialime,Tandjoaré 2,Tandjoaré,Savanes,99.1,65.5,0,764,840,11522,0,0,16
E06112368,Mamproug,Tandjoaré 2,Tandjoaré,Savanes,98.18,0,0,,7428,6803,4,0,0
E06112369,Doukpergou,Tandjoaré 2,Tandjoaré,Savanes,100,45.85,0,680,6600,6307,5,0,10
E06112370,Sangou,Tandjoaré 2,Tandjoaré,Savanes,100,0,0,,429,3688,0,0,0
E06112371,Lokpano,Tandjoaré 2,Tandjoaré,Savanes,100,20.6,0,1818,6615,6367,2,0,4
E07116386,Louanga,Tône 4,Tône,Savanes,100,49.71,0,1181,10569,9685,1,0,9
E07116387,Kantindi,Tône 4,Tône,Savanes,100,40.16,0,372,10797,10568,1,0,29
E07116388,Sanfatoute,Tône 4,Tône,Savanes,100,45.42,0,606,10298,10179,2,0,17
E07116389,Korbongou,Tône 4,Tône,Savanes,100,57.68,0,431,51740,48985,14,0,120
E07113372,Poissongui,Tône 1,Tône,Savanes,100,38.61,0,719,7906,7430,1,0,11
E07113373,Kourientre,Tône 1,Tône,Savanes,100,22.24,0,1486,11888,11616,3,0,8
E07113374,Dapaong,Tône 1,Tône,Savanes,100,87.31,79.63,174,150642,148834,21,1,869
E07113375,Toaga,Tône 1,Tône,Savanes,100,52.64,16.34,571,14848,13945,1,0,26
E07113376,Natigou,Tône 1,Tône,Savanes,100,22.87,0,2761,8284,8245,0,0,3
E07113377,Pana,Tône 1,Tône,Savanes,100,57.66,0,660,12424,11910,6,0,19
E07113378,Bidjenga,Tône 1,Tône,Savanes,100,50.56,0,809,8083,7596,1,0,10
E07114379,Nanergou,Tône 2,Tône,Savanes,100,53.71,0,526,9552,11328,1,0,22
E07114380,Namaré,Tône 2,Tône,Savanes,100,42.71,0,1377,9795,11392,0,0,9
E07114381,Naki-Ouest,Tône 2,Tône,Savanes,99.97,50.79,0,642,22929,27170,3,0,45
E07115382,Nioukpourma,Tône 3,Tône,Savanes,100,58.62,0.76,782,18757,17687,5,0,24
E07115384,Lotogou,Tône 3,Tône,Savanes,100,45.1,0,939,16334,15661,2,0,18
E07115385,Warkambou,Tône 3,Tône,Savanes,93,50.8,0,680,3345,7056,0,0,11
E07115383,Tami,Tône 3,Tône,Savanes,81.59,39.31,0,1011,26320,26512,2,0,30
