canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
A07027054,Maritime,Yoto,Yoto 2,Zafi,100,77.21,0,2350,16438,15168,7,0,0,0,0,0
A07028055,Maritime,Yoto,Yoto 3,Gboto,100,76.29,0,1870,16821,16762,3,0,0,2,0,0
A07028056,Maritime,Yoto,Yoto 3,Tométy-Kondji,100,21.11,0,4349,8699,8687,4,0,0,0,0,0
A07028057,Maritime,Yoto,Yoto 3,Sendome,100,52.08,0,3684,7333,6827,1,0,0,0,0,0
A07028058,Maritime,Yoto,Yoto 3,Essé-Godjin,100,25.6,0,2621,6486,7486,0,0,0,0,0,0
A07028059,Maritime,Yoto,Yoto 3,Tokpli,100,78.31,0,1268,13948,13937,3,0,1,0,0,1
A08032074,Maritime,Zio,Zio 4,Gapé-Centre,93.19,29.39,0,545,16383,20578,3,0,0,3,0,0
A08032075,Maritime,Zio,Zio 4,Gapé-Kpodji,80.81,56.98,0,397,647,2761,0,0,0,0,0,0
A08029060,Maritime,Zio,Zio 1,Tsévié,100,93.73,94.96,322,50443,49635,4,1,4,7,1,4
A08029061,Maritime,Zio,Zio 1,Davié,100,97.36,82.04,199,26881,30036,0,0,0,0,0,0
A08029062,Maritime,Zio,Zio 1,Gblainvié,100,55.28,25.93,561,3208,4017,1,0,0,0,0,0
A08029063,Maritime,Zio,Zio 1,Abobo,100,52.74,75.94,776,21715,21371,4,0,0,0,0,0
A08029064,Maritime,Zio,Zio 1,Djagblé,100,84.5,100,1009,26238,26238,0,1,0,6,1,0
A08029065,Maritime,Zio,Zio 1,Kpomé,100,82.05,14.09,108,2367,2302,2,0,0,0,0,0
A08029066,Maritime,Zio,Zio 1,Dalavé,100,54.67,70.46,408,15988,19913,0,0,0,1,0,0
A08029067,Maritime,Zio,Zio 1,Gbatopé,100,88.67,0,176,10855,10356,6,0,0,1,0,0
A08030068,Maritime,Zio,Zio 2,Mission-Tové,100,91.27,44.37,517,21180,21056,1,0,0,3,0,0
A08030069,Maritime,Zio,Zio 2,Kovié,100,71.77,0,990,10560,13536,2,0,0,2,0,0
A08030070,Maritime,Zio,Zio 2,Wli,100,88.31,21.1,415,2389,3079,0,0,0,0,0,0
A08030071,Maritime,Zio,Zio 2,Bolou,100,68.83,26.5,295,5031,4756,1,0,0,0,0,0
A08031072,Maritime,Zio,Zio 3,Gamé,,,,,,,0,0,0,0,0,0
A08031073,Maritime,Zio,Zio 3,Agbélouvé,98.4,59.68,36.28,299,30066,33872,16,1,1,4,1,0
B01032079,Plateaux,Agou,Agou 1,Kati,100,94.12,0,267,3200,3058,2,0,0,1,0,0
B01033080,Plateaux,Agou,Agou 1,Agou-Nyogbo-Dzidjole,100,100,100,81,1382,1382,1,0,0,0,0,0
B01033081,Plateaux,Agou,Agou 1,Agou-Kébo,100,63.24,100,1144,2288,2276,0,0,0,0,0,0
B01033076,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,100,39.4,6.32,174,3983,3369,2,0,0,0,0,0
B01033077,Plateaux,Agou,Agou 1,Agou-Akplolo,100,82.87,0,106,1247,1112,2,0,0,0,0,0
