canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
C04073228,Centrale,Tchamba,Tchamba 1,Tchamba,0,72.37,66.37,1150,30434,41077,2,1,1,5,1,0
C04074229,Centrale,Tchamba,Tchamba 2,Bago,0,30.5,0,826,19221,24311,3,0,0,0,0,0
C04074230,Centrale,Tchamba,Tchamba 2,Koussountou,0,44.53,8.2,588,15185,20282,2,1,0,1,1,0
C04075231,Centrale,Tchamba,Tchamba 3,Balanka,0,71.58,3.52,745,6850,7331,1,0,0,0,0,0
C04075232,Centrale,Tchamba,Tchamba 3,Goubi,0,34.66,0,1076,15281,12941,5,0,0,0,0,0
C04075233,Centrale,Tchamba,Tchamba 3,Kaboli,0,51.3,52.51,818,20569,23921,2,1,0,5,1,0
C05077239,Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,80.99,54.42,0,564,25042,23025,12,0,0,0,0,0
C05076234,Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,100,76.48,40.41,401,8902,8486,2,0,0,0,0,0
C05076235,Centrale,Tchaoudjo,Tchaoudjo 1,Kadambara,61.4,38.17,32.38,357,18427,15945,4,0,0,0,0,0
C05076236,Centrale,Tchaoudjo,Tchaoudjo 1,Kparataou,86.45,68.49,1.12,257,13830,13476,4,0,0,0,0,0
C05076237,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),100,97.03,97.58,96,82445,82369,6,1,10,7,1,8
C05076238,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,100,91.08,85.02,149,38698,37603,5,1,1,2,1,0
C05078243,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,99.82,52.46,0,207,3423,3325,2,0,0,0,0,0
C05078241,Centrale,Tchaoudjo,Tchaoudjo 3,Aléhéridè,99.75,79.08,0,225,5934,5666,1,1,0,0,1,0
C05078242,Centrale,Tchaoudjo,Tchaoudjo 3,Kolina,100,64.05,0,348,4134,3673,3,0,0,0,0,0
C05078240,Centrale,Tchaoudjo,Tchaoudjo 3,Kéméni,100,68.88,0,225,930,936,1,0,0,0,0,0
C05079244,Centrale,Tchaoudjo,Tchaoudjo 4,Wassarabo,100,68.78,0,179,1428,1594,1,0,0,0,0,0
C05079245,Centrale,Tchaoudjo,Tchaoudjo 4,Kpassaouade,65.42,54.16,1.6,315,2317,2585,2,0,0,0,0,0
C05079246,Centrale,Tchaoudjo,Tchaoudjo 4,Agouloudè,41.77,40.66,0,529,5849,5766,4,0,0,0,0,0
D01080247,Kara,Assoli,Assoli 1,Dako (Daoude),68.46,57.05,0,654,4565,5266,1,0,0,0,0,0
D01080248,Kara,Assoli,Assoli 1,Bouladè,100,49.71,30.25,752,5262,4606,3,0,0,0,0,0
D01080249,Kara,Assoli,Assoli 1,Bafilo,100,91.88,92.91,119,17817,17478,3,1,2,5,1,1
D01081250,Kara,Assoli,Assoli 2,Alédjo,100,79.71,0,367,6608,6476,4,0,0,0,0,0
D01081251,Kara,Assoli,Assoli 2,Koumondè,100,99.52,18.33,224,2906,2892,1,0,0,0,0,0
D01082252,Kara,Assoli,Assoli 3,Soudou,100,49.28,0.5,297,7285,6614,3,0,0,0,0,0
D02083253,Kara,Bassar,Bassar 1,Baghan,16.17,74.47,0,183,1521,1367,2,0,0,0,0,0
D02083254,Kara,Bassar,Bassar 1,Bassar,98.61,82.37,78.58,169,39711,39438,9,1,4,4,1,1
D02083255,Kara,Bassar,Bassar 1,Kalanga,100,39.8,0,810,2818,4718,1,0,0,0,0,0
D02084256,Kara,Bassar,Bassar 2,Dimori,42.14,36.97,0,1003,4964,8371,1,0,0,0,0,0
D02084257,Kara,Bassar,Bassar 2,Bitchabe,92.4,44.11,0,1383,5125,5209,3,0,0,0,0,0
D02084258,Kara,Bassar,Bassar 2,Bangeli,100,42.43,0,287,8385,9564,4,1,1,1,1,0
D02085259,Kara,Bassar,Bassar 3,Manga,100,28.24,0,519,1879,3927,1,0,0,0,0,0
D02085260,Kara,Bassar,Bassar 3,Kabou,99.51,68.37,67.52,384,21774,22276,3,1,1,2,1,1
D02086261,Kara,Bassar,Bassar 4,Sanda-Afohou,100,77.53,0,312,3337,3576,1,0,0,0,0,0
D02086262,Kara,Bassar,Bassar 4,Sanda-Kagbanda,100,73.91,0,235,3646,3478,2,0,0,0,0,0
D03087263,Kara,Binah,Binah 1,Solla,68.72,35.58,0,731,8230,7290,2,0,0,0,0,0
D03087264,Kara,Binah,Binah 1,Pessaré,100,62.38,0,806,5643,5544,1,0,0,0,0,0
D03087265,Kara,Binah,Binah 1,Boufalé,100,30.29,0,373,4417,3728,1,0,0,0,0,0
D03087266,Kara,Binah,Binah 1,Pitikita,100,16.41,0,2421,4843,4460,1,0,0,0,0,0
D03087267,Kara,Binah,Binah 1,Lama-Dessi,100,73.53,0,624,7485,7080,1,0,0,0,0,0
D03087268,Kara,Binah,Binah 1,Pagouda,100,76.75,0,327,15392,14986,7,1,1,1,1,0
D03088269,Kara,Binah,Binah 2,Sirka,100,41.73,0,637,6523,7054,6,0,0,0,0,0
D03088270,Kara,Binah,Binah 2,Kétao,100,94.76,0,136,13392,13355,1,1,3,4,1,1
D03088271,Kara,Binah,Binah 2,Kémérida,100,83.81,0,629,5283,5440,2,0,0,0,0,0
D04089272,Kara,Dankpen,Dankpen 1,Naompoch,91.25,37.02,0,1566,7119,10210,2,0,0,0,0,0
D04089273,Kara,Dankpen,Dankpen 1,Katchamba,24.18,32.83,0,1188,5133,7484,2,0,0,0,0,0
D04089274,Kara,Dankpen,Dankpen 1,Guérin-Kouka,99.95,58.65,66.54,448,34366,39574,1,1,3,4,1,0
D04089275,Kara,Dankpen,Dankpen 1,Koulféikou,0,73.35,0,1575,12620,14801,1,0,0,0,0,0
D04090276,Kara,Dankpen,Dankpen 2,Namon,9.19,50.76,0,1060,8893,8093,1,0,0,0,0,0
D04090277,Kara,Dankpen,Dankpen 2,Natchiboré,21.62,33.58,0,2449,2922,9038,0,0,0,0,0,0
D04090278,Kara,Dankpen,Dankpen 2,Natchitikpi,100,26.67,0,953,4023,4531,1,0,0,0,0,0
D04090279,Kara,Dankpen,Dankpen 2,Koutchitchéou,98.22,55.84,0,1091,1292,6382,0,0,0,0,0,0
D04091280,Kara,Dankpen,Dankpen 3,Nawaré,98.42,14.35,0,4811,6924,19565,1,0,0,0,0,0
D04091281,Kara,Dankpen,Dankpen 3,Bapuré,100,44.65,0,1582,19979,29622,2,1,0,0,1,0
D04091282,Kara,Dankpen,Dankpen 3,Nandouta,11.92,24.55,0,4726,11561,18189,3,0,0,0,0,0
D04091283,Kara,Dankpen,Dankpen 3,Kidjabou,42.68,6.29,0,3799,5738,22423,1,0,0,0,0,0
D05092285,Kara,Doufelgou,Doufelgou 1,Agbandè-Yaka,100,45.25,67.54,1311,5001,3041,1,0,0,0,0,0
D05092286,Kara,Doufelgou,Doufelgou 1,Niamtougou,100,97.51,99.62,250,16257,16114,3,1,2,4,1,0
D05092284,Kara,Doufelgou,Doufelgou 1,Siou,100,87.53,0,435,10879,10805,6,1,0,1,1,0
D05092287,Kara,Doufelgou,Doufelgou 1,Ténéga,100,67.46,0,1248,3743,3650,3,0,0,0,0,0
D05092288,Kara,Doufelgou,Doufelgou 1,Baga,100,88.48,94.53,695,7642,7553,4,0,0,0,0,0
D05092289,Kara,Doufelgou,Doufelgou 1,Pouda,100,0,0,,2919,2495,1,0,0,0,0,0
D05092290,Kara,Doufelgou,Doufelgou 1,Massédéna,69.7,0,0,,1795,1611,1,0,0,0,0,0
D05092291,Kara,Doufelgou,Doufelgou 1,Koka,100,86.5,65.19,768,4610,4290,3,0,0,0,0,0
D05093293,Kara,Doufelgou,Doufelgou 2,Alloum,61.36,35.31,0,240,2023,2916,2,0,0,3,0,0
D05093292,Kara,Doufelgou,Doufelgou 2,Léon,45.1,42.77,0,298,2031,1365,3,0,0,0,0,0
D05093294,Kara,Doufelgou,Doufelgou 2,Kadjalla,62.42,28.86,0,253,3269,2576,2,0,0,0,0,0
D05093295,Kara,Doufelgou,Doufelgou 2,Tchoré,100,51.95,0,254,762,600,1,0,0,0,0,0
D05093296,Kara,Doufelgou,Doufelgou 2,Défalé,100,2.06,0,,227,116,0,0,0,1,0,0
D05093297,Kara,Doufelgou,Doufelgou 2,Kpaha,100,50.83,0,536,1320,1476,1,0,0,0,0,0
D06096304,Kara,Kéran,Kéran 3,Nadoba,0,35.24,0,1782,12769,13091,1,0,0,0,0,0
D06096305,Kara,Kéran,Kéran 3,Warengo,0,11.81,0,6024,458,5414,0,0,0,0,0,0
D06096306,Kara,Kéran,Kéran 3,Koutougou,0,0,0,,652,2423,1,0,0,0,0,0
D06094298,Kara,Kéran,Kéran 1,Kantè,74.64,74.76,85.6,407,30612,28191,9,1,4,3,1,0
D06094299,Kara,Kéran,Kéran 1,Pessidè,7.04,9.07,6.56,2406,16658,10464,8,0,0,0,0,0
D06094300,Kara,Kéran,Kéran 1,Akpontè,3.73,10.39,0,870,5041,2237,3,0,0,0,0,0
D06095301,Kara,Kéran,Kéran 2,Hélota,0,27.64,0,922,11275,7543,6,0,0,0,0,0
D06095302,Kara,Kéran,Kéran 2,Ossacré,0,60.29,0,683,11549,10134,4,0,0,0,0,0
D06095303,Kara,Kéran,Kéran 2,Ataloté,3.92,32.85,0,1812,14430,8304,13,0,0,0,0,0
D07097307,Kara,Kozah,Kozah 1,Landa,100,94.55,0,302,9059,9044,12,0,0,0,0,0
D07097308,Kara,Kozah,Kozah 1,Soumdina,100,87.22,0,364,6910,6879,2,0,0,0,0,0
D07097309,Kara,Kozah,Kozah 1,Lassa,100,82.28,0,280,16806,16762,8,0,0,0,0,0
D07097310,Kara,Kozah,Kozah 1,Commune De Kara,100,98.09,91.61,85,107435,106957,13,2,13,6,2,10
D07098313,Kara,Kozah,Kozah 2,Pya,100,95.5,0,346,13859,13635,5,1,3,1,1,0
D07098314,Kara,Kozah,Kozah 2,Tchitchao,100,86.35,0,1002,9009,8706,5,0,0,0,0,0
D07098315,Kara,Kozah,Kozah 2,Bohou,100,64.26,1.51,609,12181,12036,6,0,0,0,0,0
D07098316,Kara,Kozah,Kozah 2,Sara-Kawa,100,53.33,0,511,4350,3602,3,0,0,0,0,0
D07098317,Kara,Kozah,Kozah 2,Yadè,100,89,3.65,467,7468,7397,0,0,0,0,0,0
D07098311,Kara,Kozah,Kozah 2,Kouméa,100,84.6,0,392,9811,9776,9,1,0,0,1,0
D07098312,Kara,Kozah,Kozah 2,Tcharè,100,87.05,0,399,3189,3079,2,0,0,0,0,0
D07099318,Kara,Kozah,Kozah 3,Awandjélo,100,52.33,0,467,10275,9029,10,0,0,0,0,0
D07099319,Kara,Kozah,Kozah 3,Kpinzindè,99.61,41.32,0,651,7806,6457,17,0,0,0,0,0
D07100320,Kara,Kozah,Kozah 4,Djamdè,100,65.38,0,320,2393,2584,2,0,0,0,0,0
D07100321,Kara,Kozah,Kozah 4,Atchangbadè,100,41.54,0,726,16710,17600,2,1,0,0,1,0
E01102326,Savanes,Cinkassé,Cinkassé 2,Biankouri,100,46.78,20.97,872,13947,12951,3,0,0,0,0,0
E01102328,Savanes,Cinkassé,Cinkassé 2,Timbou,100,59.81,0.36,742,17075,16595,2,0,0,1,0,0
E01102327,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,100,50.81,0,571,9708,9310,2,0,0,0,0,0
E01102329,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,100,74.94,0.28,479,9572,9128,1,0,0,1,0,0
E01101322,Savanes,Cinkassé,Cinkassé 1,Gouloungoussi,100,46,0,1836,3671,3404,1,0,0,0,0,0
E01101323,Savanes,Cinkassé,Cinkassé 1,Noaga,100,0,0,,702,409,0,0,0,0,0,0
E01101324,Savanes,Cinkassé,Cinkassé 1,Boadé,100,55.68,0,809,1893,2418,0,0,0,0,0,0
E02103330,Savanes,Kpendjal,Kpendjal 1,Tambigou,0,24.44,0,4536,0,2306,0,0,0,0,0,0
E02103331,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,0,55.56,0,1037,14819,14933,3,0,0,0,0,0
E02103332,Savanes,Kpendjal,Kpendjal 1,Mandouri,0,41.46,0,812,12270,12321,2,1,0,0,1,0
E02104333,Savanes,Kpendjal,Kpendjal 2,Borgou,0,17.57,0,3917,11442,15494,4,0,0,0,0,0
E03105334,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,77.63,66.81,0,548,25591,22729,7,0,0,1,0,0
E03105335,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,65.74,55.87,0,1140,6842,6320,2,0,0,0,0,0
E03105336,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,1.06,51.35,0,1086,21151,18781,5,0,0,0,0,0
E03106337,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,100,66.58,0,938,18756,18068,2,0,0,2,0,0
E03106338,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Tambonga,100,53.19,0,998,8983,7607,2,0,0,0,0,0
E03106339,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,99.87,38.21,0,879,9556,8855,2,0,0,1,0,0
E03106340,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,43.34,38.44,0,1040,16220,15838,4,0,0,0,0,0
E04109341,Savanes,Oti,Oti 1,Mango,100,85.39,86.85,257,47266,48857,4,1,4,3,1,0
E04109342,Savanes,Oti,Oti 1,Sadori,100,33.03,0,2087,7577,7019,1,0,0,0,0,0
E04109343,Savanes,Oti,Oti 1,Faré,19.44,40.28,0,5259,5206,3509,1,0,0,0,0,0
E04110344,Savanes,Oti,Oti 2,Barkoissi,100,72.15,0,344,35836,35756,7,1,1,3,1,0
E04110345,Savanes,Oti,Oti 2,Nagbéni,75.44,49.24,0,1078,21786,20812,8,0,0,0,0,0
E04110346,Savanes,Oti,Oti 2,Tchanaga,80.88,16.24,0,1246,3826,4742,2,0,0,0,0,0
E04110347,Savanes,Oti,Oti 2,Galangashie,100,49.49,0,913,10296,10391,2,0,0,0,0,0
E05107348,Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,100,57.33,0,385,8673,10391,4,0,0,1,0,0
E05107349,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,22.13,23.69,0,2143,4921,15145,1,0,0,0,0,0
E05107350,Savanes,Oti-Sud,Oti-Sud 1,Mogou,100,21.27,0.19,1304,6745,10992,1,0,0,0,0,0
E05107351,Savanes,Oti-Sud,Oti-Sud 1,Gando,99.97,61.7,60.75,491,24911,23950,5,1,1,2,1,0
E05108352,Savanes,Oti-Sud,Oti-Sud 2,Kountoire,13.36,22.04,0,1026,8480,9294,2,0,0,0,0,0
E06108355,Savanes,Oti-Sud,Oti-Sud 2,Takpamba,0,38,0,772,6648,7693,2,0,0,1,0,0
E05108353,Savanes,Oti-Sud,Oti-Sud 2,Koumongou,65.52,43.44,0,1124,7662,7883,1,0,0,0,0,0
E05108354,Savanes,Oti-Sud,Oti-Sud 2,Nali,0,26.25,0,2730,4363,5807,1,0,0,0,0,0
E06111361,Savanes,Tandjoaré,Tandjoaré 1,Nandoga,100,49.88,0,1532,6126,5908,3,0,0,0,0,0
E06111356,Savanes,Tandjoaré,Tandjoaré 1,Loko,100,37.7,0,3194,3194,2682,3,0,0,0,0,0
E06111357,Savanes,Tandjoaré,Tandjoaré 1,Pligou,100,30.73,0,1400,8401,7286,0,0,0,0,0,0
E06111358,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,100,56.83,0,558,9483,9084,5,1,1,2,1,0
E06111359,Savanes,Tandjoaré,Tandjoaré 1,Goundoga,100,67.17,0,679,5434,4997,5,0,0,0,0,0
E06111360,Savanes,Tandjoaré,Tandjoaré 1,Bogou,100,47.59,0,1325,15895,15661,6,0,0,0,0,0
E06111362,Savanes,Tandjoaré,Tandjoaré 1,Boulogou,100,0.63,0,,7210,6703,4,0,0,0,0,0
E06111363,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,99.81,48.13,0,1226,19204,21412,6,0,0,1,0,0
E06112364,Savanes,Tandjoaré,Tandjoaré 2,Bagou,100,14.51,0,3319,3319,2860,5,0,0,0,0,0
E06112365,Savanes,Tandjoaré,Tandjoaré 2,Nano,100,79.7,0,481,16271,16662,3,0,0,3,0,0
E06112366,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,100,51,0,1016,26416,24873,10,0,0,0,0,0
E06112367,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,99.1,65.5,0,764,840,11522,0,0,0,0,0,0
E06112368,Savanes,Tandjoaré,Tandjoaré 2,Mamproug,98.18,0,0,,7428,6803,4,0,0,0,0,0
E06112369,Savanes,Tandjoaré,Tandjoaré 2,Doukpergou,100,45.85,0,680,6600,6307,5,0,0,1,0,0
E06112370,Savanes,Tandjoaré,Tandjoaré 2,Sangou,100,0,0,,429,3688,0,0,0,0,0,0
E06112371,Savanes,Tandjoaré,Tandjoaré 2,Lokpano,100,20.6,0,1818,6615,6367,2,0,0,0,0,0
E07116386,Savanes,Tône,Tône 4,Louanga,100,49.71,0,1181,10569,9685,1,0,0,0,0,0
E07116387,Savanes,Tône,Tône 4,Kantindi,100,40.16,0,372,10797,10568,1,0,0,0,0,0
E07116388,Savanes,Tône,Tône 4,Sanfatoute,100,45.42,0,606,10298,10179,2,0,0,0,0,0
E07116389,Savanes,Tône,Tône 4,Korbongou,100,57.68,0,431,51740,48985,14,0,0,0,0,0
E07113372,Savanes,Tône,Tône 1,Poissongui,100,38.61,0,719,7906,7430,1,0,0,0,0,0
E07113373,Savanes,Tône,Tône 1,Kourientre,100,22.24,0,1486,11888,11616,3,0,0,0,0,0
E07113374,Savanes,Tône,Tône 1,Dapaong,100,87.31,79.63,174,150642,148834,21,1,7,8,1,9
E07113375,Savanes,Tône,Tône 1,Toaga,100,52.64,16.34,571,14848,13945,1,0,0,0,0,0
E07113376,Savanes,Tône,Tône 1,Natigou,100,22.87,0,2761,8284,8245,0,0,0,0,0,0
E07113377,Savanes,Tône,Tône 1,Pana,100,57.66,0,660,12424,11910,6,0,0,0,0,0
E07113378,Savanes,Tône,Tône 1,Bidjenga,100,50.56,0,809,8083,7596,1,0,0,0,0,0
E07114379,Savanes,Tône,Tône 2,Nanergou,100,53.71,0,526,9552,11328,1,0,0,0,0,0
E07114380,Savanes,Tône,Tône 2,Namaré,100,42.71,0,1377,9795,11392,0,0,0,0,0,0
E07114381,Savanes,Tône,Tône 2,Naki-Ouest,99.97,50.79,0,642,22929,27170,3,0,0,0,0,0
E07115382,Savanes,Tône,Tône 3,Nioukpourma,100,58.62,0.76,782,18757,17687,5,0,0,0,0,0
E07115384,Savanes,Tône,Tône 3,Lotogou,100,45.1,0,939,16334,15661,2,0,0,1,0,0
E07115385,Savanes,Tône,Tône 3,Warkambou,93,50.8,0,680,3345,7056,0,0,0,0,0,0
E07115383,Savanes,Tône,Tône 3,Tami,81.59,39.31,0,1011,26320,26512,2,0,0,0,0,0
