region,prefecture,commune,canton,nom,lat,lon,type_service
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,FEDES Togo,6.31737,1.2177,microfinance
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ASJD LEO 2000,6.2114,1.17705,microfinance
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Microfinance Trinité,6.21851,1.15969,microfinance
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Microfinance MEDAD,6.21851,1.15257,microfinance
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Microfinance Ardi-mec,6.2137,1.16078,microfinance
Maritime,Golfe,Golfe 5,Aflao-Gakli,Microfinance COCEC,6.21033,1.15805,microfinance
Kara,Kéran,Kéran 1,Kantè,FUCEC Togo Kante,9.95866,1.04571,microfinance
Kara,Kéran,Kéran 1,Kantè,MUFEC Kanté,9.95889,1.04889,microfinance
Maritime,Zio,Zio 2,Kovié,FECECAV Kovie,6.34103,1.10754,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,CAVEC Lidaw,9.54472,1.18914,microfinance
Kara,Assoli,Assoli 1,Bafilo,Cef Microfinance Bafilo,9.35139,1.2453,microfinance
Kara,Assoli,Assoli 1,Bafilo,COOPEC Ariziki,9.35788,1.24195,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,COMEC Kara Camp Général Ameyi,9.57043,1.17793,microfinance
Kara,Assoli,Assoli 1,Bafilo,Promofinance Bafilo,9.35303,1.24369,microfinance
Kara,Assoli,Assoli 1,Bafilo,MUCAD Bafilo,9.35409,1.24399,microfinance
Kara,Kozah,Kozah 2,Pya,Promofinance Ténouyo,9.66265,1.15175,microfinance
Kara,Dankpen,Dankpen 1,Guérin-Kouka,Assoli,9.68784,0.60679,microfinance
Kara,Assoli,Assoli 1,Bafilo,COOPEC ADESEM Bafilo,9.3501,1.24731,microfinance
Kara,Doufelgou,Doufelgou 1,Niamtougou,Fonds Social de Solidarite,9.76592,1.1088,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,Promo Finance Kara,9.54983,1.19033,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,MUFEC Lama,9.54562,1.19324,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,FUCEC Togo Kara,9.54599,1.18956,microfinance
Kara,Kozah,Kozah 1,Commune De Kara,Promo Finance Tomdè,9.55894,1.1929,microfinance
Kara,Dankpen,Dankpen 1,Guérin-Kouka,Promofinance Guérin Kouka,9.6913,0.60791,microfinance
Kara,Dankpen,Dankpen 1,Guérin-Kouka,FUCEC Togo Guérin Kouka,9.69088,0.60764,microfinance
Kara,Binah,Binah 1,Pagouda,COOPEC Pagouda,9.75307,1.32827,microfinance
Kara,Dankpen,Dankpen 1,Guérin-Kouka,MUCAD Guérin Kouka,9.68666,0.60896,microfinance
Kara,Binah,Binah 2,Kétao,Micro-finance UMECTO,9.65672,1.30715,microfinance
Kara,Binah,Binah 2,Kétao,FUCEC Togo Ketao,9.66019,1.30532,microfinance
Kara,Binah,Binah 2,Kétao,Promofinace de Ketao,9.66117,1.31037,microfinance
Kara,Binah,Binah 2,Kétao,Microfinance MUCAD Ketao,9.65765,1.30907,microfinance
Kara,Bassar,Bassar 1,Bassar,COOPEC AD Bassar,9.26469,0.77963,microfinance
Kara,Bassar,Bassar 1,Bassar,URCLEC Bassar,9.26145,0.77897,microfinance
Kara,Bassar,Bassar 2,Bangeli,COOPEC ADESEM Bangeli,9.4221,0.62418,microfinance
Kara,Bassar,Bassar 3,Kabou,COOPEC ADESEM Sankpana,9.4558,0.81767,microfinance
Kara,Bassar,Bassar 3,Kabou,FUCEC Togo Kabou,9.4541,0.81096,microfinance
Kara,Bassar,Bassar 1,Bassar,COOPEC Bilimon Bassar,9.25905,0.78292,microfinance
Kara,Doufelgou,Doufelgou 3,Alloum,MEC-D Broukou,9.73844,0.92126,microfinance
Kara,Doufelgou,Doufelgou 1,Siou,MEC-D  Siou,9.82142,1.20024,microfinance
Kara,Doufelgou,Doufelgou 2,Défalé,MEC-D de defale,9.86546,1.09052,microfinance
Kara,Doufelgou,Doufelgou 3,Alloum,Promofinance Broukou,9.73983,0.92158,microfinance
Kara,Doufelgou,Doufelgou 3,Alloum,COOPEC Niamtougou,9.74007,0.92024,microfinance
Kara,Doufelgou,Doufelgou 1,Niamtougou,COOPEC Niantougou,9.76406,1.10684,microfinance
Kara,Doufelgou,Doufelgou 1,Niamtougou,C.P.D.E.N.D.F,9.77343,1.11279,microfinance
Kara,Doufelgou,Doufelgou 1,Niamtougou,Mec-d Niamtougou,9.76503,1.10744,microfinance
Kara,Bassar,Bassar 1,Bassar,Promo Finance Bassar,9.26216,0.77413,microfinance
Maritime,Zio,Zio 1,Djagblé,COCEC Djagble,6.25464,1.28276,microfinance
Maritime,Zio,Zio 3,Gamé-Sèva,Mutuelle Villageoise de developpement de Avedze,6.67209,1.23883,microfinance
Maritime,Yoto,Yoto 1,Tabligbo,COOPEC-AD Tagbligbo,6.58953,1.50026,microfinance
Maritime,Yoto,Yoto 1,Tabligbo,Mutuelle Akwaba Tagbligbo,6.589,1.49574,microfinance
Maritime,Yoto,Yoto 1,Tabligbo,UMECTO Tagbligbo,6.58951,1.49888,microfinance
Maritime,Yoto,Yoto 2,Ahépé,UMECTO Ahepe,6.60636,1.39619,microfinance
Maritime,Yoto,Yoto 2,Ahépé,Mutuelle Akwaba Agence Annexe,6.60433,1.39412,microfinance
Maritime,Yoto,Yoto 2,Tchékpo,FUCEC Togo -Togo (guichet de Tchekpo ),6.53387,1.35891,microfinance
Maritime,Yoto,Yoto 2,Tchékpo,Mutuelle Akwaba Guichet de Tchekpo,6.53685,1.3604,microfinance
Maritime,Yoto,Yoto 2,Ahépé,FUCEC Togo Ahépé,6.60574,1.39759,microfinance
Maritime,Yoto,Yoto 1,Kouvé,COOPEC Kouve,6.66214,1.41344,microfinance
Maritime,Yoto,Yoto 1,Kouvé,Mutuelle Akwaba Kouvé Atsapé,6.66305,1.41247,microfinance
Maritime,Yoto,Yoto 1,Tabligbo,FUCEC Togo Tabligbo,6.58708,1.50077,microfinance
Maritime,Zio,Zio 1,Tsévié,FUCEC Togo COOPEC Tsevie,6.42463,1.21603,microfinance
Maritime,Zio,Zio 2,Mission-Tové,Cooperative Solidarite Agricole Centre la Pauvreté,6.32168,1.12487,microfinance
Maritime,Yoto,Yoto 3,Gboto,Tsonakle,6.70537,1.47652,microfinance
Maritime,Yoto,Yoto 3,Gboto,ADCB-CREC,6.67522,1.52997,microfinance
Maritime,Zio,Zio 1,Tsévié,WAGES Tsévié,6.43694,1.21129,microfinance
Maritime,Zio,Zio 1,Tsévié,UMECTO Tsévié,6.43754,1.21074,microfinance
Maritime,Zio,Zio 1,Djagblé,COOPEC la Fructueuse,6.24892,1.27777,microfinance
Maritime,Zio,Zio 1,Dalavé,Mutuelle Akwaba Adangbe,6.40212,1.27156,microfinance
Maritime,Zio,Zio 1,Tsévié,Mutuelle Akwaba Tsévié,6.40848,1.20896,microfinance
Maritime,Zio,Zio 1,Tsévié,FECECAV la Grâce,6.42412,1.20968,microfinance
Maritime,Vo,Vo 4,Akoumapé,Coopérative des Femmes Pour L'epargne et de Crédit,6.38335,1.43327,microfinance
Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,COOPEC Afagnan,6.49581,1.6271,microfinance
Maritime,Avé,Avé 1,Kévé,FUCEC Togo Topeme,6.43082,0.93074,microfinance
Maritime,Avé,Avé 1,Kévé,COOPEC AD Kévé,6.43454,0.92526,microfinance
Maritime,Avé,Avé 2,Aképé,FECECAV D Assiame,6.24217,1.05783,microfinance
Maritime,Avé,Avé 1,Tovégan,FECECAV Solidarite,6.56652,0.89424,microfinance
Maritime,Avé,Avé 2,Aképé,FUCEC Togo Akepe,6.24133,1.05744,microfinance
Maritime,Avé,Avé 2,Badja,COOPAD Transformation,6.3753,0.98517,microfinance
Maritime,Zio,Zio 1,Gbatopé,Mutuelle Akwaba Gbatope,6.44441,1.25902,microfinance
Maritime,Vo,Vo 3,Dzrékpo,Microfinance Tso Nakle,6.47332,1.5689,microfinance
Savanes,Cinkassé,Cinkassé 1,Cinkassé,2A.D.A.D,11.09988,0.0243,microfinance
Maritime,Avé,Avé 1,Assahoun,COECEPT Assahoun,6.45986,0.90877,microfinance
Maritime,Avé,Avé 1,Zolo,FUCEC Togo Dzolo,6.37567,0.89136,microfinance
Maritime,Avé,Avé 1,Assahoun,CECAV la Grace,6.45911,0.90901,microfinance
Maritime,Avé,Avé 2,Noépé,COOPEC la Lumière,6.25683,1.04309,microfinance
Maritime,Avé,Avé 1,Assahoun,FUCEC Togo Assahoun,6.45034,0.91453,microfinance
Maritime,Zio,Zio 2,Mission-Tové,Mutuelle Benit,6.2968,1.13556,microfinance
Maritime,Zio,Zio 1,Tsévié,COOPEC Fidélité,6.43365,1.20671,microfinance
Maritime,Zio,Zio 2,Kovié,Mutuelle Dignité Humaine,6.34269,1.11282,microfinance
Maritime,Zio,Zio 4,Gapé-Centre,Mutuelle Akwaba Avérétoe,6.6028,1.10328,microfinance
Maritime,Zio,Zio 4,Gapé-Centre,FUSECAB,6.60339,1.10144,microfinance
Maritime,Zio,Zio 4,Gapé-Centre,COOPEC Gape Centre,6.60197,1.10373,microfinance
Maritime,Zio,Zio 2,Mission-Tové,Centre d'assistance Juridique et Economique Aux Femmes,6.28913,1.12529,microfinance
Maritime,Zio,Zio 3,Agbélouvé,CECAv Prosperite,6.67126,1.1682,microfinance
Maritime,Zio,Zio 3,Agbélouvé,FUCEC Togo Agbelouvé,6.67201,1.16765,microfinance
Maritime,Zio,Zio 3,Agbélouvé,SPEC OIC Togo Agbelouvé,6.66879,1.16866,microfinance
Maritime,Zio,Zio 1,Djagblé,COOPEC Tsevie Guichet Djagblé,6.25486,1.28408,microfinance
Maritime,Zio,Zio 3,Agbélouvé,Caisse Communautaire,6.62007,1.18621,microfinance
Maritime,Vo,Vo 2,Togoville,Mutuelle ASJD Bdougbé,6.23752,1.51331,microfinance
Maritime,Bas-Mono,Bas-Mono 2,Attitogon,FUCEC Togo AttiTogon,6.41678,1.66312,microfinance
Maritime,Vo,Vo 1,Vogan,COOPEC-AD Novissikome,6.34078,1.52385,microfinance
Maritime,Vo,Vo 1,Vogan,COOPEC CECEAO,6.33926,1.52427,microfinance
Maritime,Vo,Vo 3,Dzrékpo,FESEC-Togo,6.47417,1.56875,microfinance
Maritime,Vo,Vo 1,Vogan,Mutuelle Kekeli,6.33354,1.52995,microfinance
Savanes,Cinkassé,Cinkassé 1,Cinkassé,COOPEC AD Boadé,11.09978,0.01774,microfinance
Maritime,Vo,Vo 1,Vogan,FECECAV-MECA,6.34049,1.52394,microfinance
Maritime,Vo,Vo 4,Hahotoé,Coopérative d'épargne et de Credit du Personnel de la SNPT,6.36701,1.40938,microfinance
Maritime,Vo,Vo 4,Hahotoé,FUCEC Togo - COOPEC CECEAO,6.3631,1.41459,microfinance
Maritime,Vo,Vo 4,Hahotoé,UMECTO Kekeli,6.36552,1.41645,microfinance
Maritime,Lacs,Lacs 2,Aklakou,Mutuelle Kekeli,6.33376,1.7084,microfinance
Maritime,Lacs,Lacs 4,Anfoin,MECA Anfoin,6.32886,1.6068,microfinance
Maritime,Lacs,Lacs 4,Anfoin,COOPEC-nyameneko,6.33015,1.60757,microfinance
Maritime,Lacs,Lacs 1,Canton D’Aneho,FUCEC Togo Aného,6.23774,1.6104,microfinance
Maritime,Lacs,Lacs 3,Gbodjomé,COCPAV Dague,6.20032,1.40561,microfinance
Maritime,Lacs,Lacs 3,Gbodjomé,COOPEC Kekeli,6.18337,1.39254,microfinance
Maritime,Lacs,Lacs 3,Gbodjomé,COOPEC Nyameneko /fusec,6.19224,1.39682,microfinance
Maritime,Lacs,Lacs 3,Agbodrafo,WAGES Agbodrafo,6.20972,1.48168,microfinance
Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,COOPEC Nataan de Bombouaka,10.69407,0.20876,microfinance
Maritime,Lacs,Lacs 3,Agbodrafo,FUCEC Togo Kpémé,6.2139,1.50459,microfinance
Maritime,Lacs,Lacs 1,Canton D’Aneho,MECA Amadoté,6.23858,1.6145,microfinance
Plateaux,Ogou,Ogou 1,Djama,COOPEC AD Agbonou,7.51371,1.15115,microfinance
Maritime,Lacs,Lacs 1,Canton D’Aneho,WAGES le Sang kongni,6.23948,1.62038,microfinance
